b2soc10,b3soc10,hi_gaisi,gaisi_rank,p50_gaisi_rank,N
11,111,.68000001,8.3003998,8.1999998,21.64784831181169
11,112,.21052632,7.1216664,7.0500002,148.1526180431247
11,113,.57966101,8.1119661,8.3299999,320.0662993080914
11,115,.53333336,7.8433332,8.0500002,11.43170459568501
11,116,.18604651,6.9486046,6.8400002,44.1313957683742
11,117,.55555558,7.6044445,8.0299997,7.073165610432625
11,118,.58064514,8.1229029,8.3400002,34.99050936102867
11,119,.19767442,6.7136045,6.6899996,104.9794635176659
12,121,.071428575,5.5050001,5.2600002,15.42907731980085
12,122,0,5.0450821,5.0100002,65.40014554560184
12,124,0,5.6751513,5.6799998,32.78659261763096
12,125,.011111111,5.508389,5.5,179.6748855542392
21,211,.89855075,9.0647821,9.3100004,74.86225819587708
21,212,.85217392,8.9555655,9.2700005,113.0555591061711
21,213,.95505619,9.3790169,9.54,366.2371038421988
21,214,.89999998,9.1300001,9.46,16.87591052055359
21,215,1,9.4319229,9.4899998,25.67992552369833
22,221,0,5.0346737,4.8850002,175.2697644792497
22,222,0,5.2841539,5.1799998,50.09804838523269
22,223,0,4.6524639,4.52,167.5981602743268
23,231,.0051194541,5.7402558,5.6549997,553.9833191372454
24,241,.68333334,8.4543333,8.6149998,61.56546721234918
24,242,.6125828,8.2161922,8.2950001,300.8035923317075
24,243,.37931034,7.7031035,7.73,55.21944436058402
24,244,.62025315,8.2363291,8.4300003,73.16415846720338
24,245,.60109276,1,1,5.302948802709579
24,246,.66071427,8.2275,8.3249998,57.46730845421553
24,247,.71153843,8.5711536,8.8950005,65.50179317593575
31,311,0,5.3250551,5.2600002,87.47194755449891
31,312,0,5.6819229,5.8850002,27.41797811537981
31,313,0,6.1798592,6.1999998,88.53360951691866
32,321,0,4.7106252,4.5450001,51.53240198642015
32,323,0,5.253593,5.1999998,145.2736672498286
33,331,0,4.3806314,4.21,95.01520731300116
34,341,.12068965,6.4264655,6.3800001,122.1143778786063
34,342,.16666667,7.0242858,6.9850001,39.68169082701206
34,344,0,6.188077,6.105,22.6643148958683
35,351,.11764706,6.6458821,6.5300002,18.22326615452766
35,352,.5714286,8.2380953,8.3400002,25.16416641324759
35,353,.56907892,8.093914,8.1949997,304.2273257188499
35,354,.55984557,8.1252508,8.1599998,279.101488981396
35,356,.60714287,8.2849493,8.3250008,171.9534521326423
41,411,.34999999,7.4821429,7.585,127.9713112246245
41,412,.17475729,6.7797575,6.75,190.5922120641917
41,413,.17557251,6.7266412,6.6300001,139.2625606842339
41,415,.15422885,6.6765671,6.6300001,186.1222461629659
41,416,.2037037,7.0203705,7.125,54.97962485253811
42,421,0,4.1652665,4.0599999,160.2896790057421
51,511,0,2.7345569,2.6800001,76.01623513549566
52,521,0,2.1478572,2.1300001,12.58098741993308
52,522,0,2.6362026,2.6800001,86.83498446643353
52,523,0,2.6821918,2.6099999,76.09643218666315
52,524,0,2.8616667,2.865,142.4444307237864
52,525,0,3.051111,3.02,27.75726388394833
53,531,0,1.7495625,1.715,188.7410351783037
53,532,0,1.7867924,1.76,56.96216848492622
53,533,0,2.021579,2.01,21.50075776875019
54,541,0,2.2633333,2.2049999,9.285508438944817
54,542,0,1.9129412,1.83,19.3127484023571
54,543,0,2.0064864,2.04,120.4179082065821
54,544,0,2.0265517,1.98,28.09957267343998
61,612,0,3.1259363,3.1700001,223.9291694648564
61,613,0,2.6116667,2.5349998,20.09542746096849
61,614,0,3.1931896,3.3,392.4303593281657
62,621,0,3.0602381,3.1750002,48.68584579229355
62,622,0,2.7350819,2.6700001,57.18908923864365
62,623,0,2.4275,2.2950001,40.84520648419857
62,624,0,3.1099999,3.3850002,17.39727567136288
71,711,.0031545742,2.6589274,2.5999999,307.7962652742863
71,712,0,3.0625,3.3249998,36.84274666011333
71,713,0,3.3250666,3.3900001,72.74036637693644
72,721,.021276595,5.4544683,5.3299999,146.9191192127764
72,722,0,5.8222222,5.8000002,20.95165015012026
81,811,0,.32025975,.31999999,74.60937818139791
81,812,0,.32749999,.30500001,48.48201170563698
81,813,0,.32533333,.31,70.60660435259342
81,814,0,.27032259,.25999999,36.89057424664497
82,821,0,1.2655555,1.295,238.7410760000348
82,822,0,1.2754545,1.3,34.79771581292152
82,823,0,1.3946154,1.425,28.70620954036713
91,911,0,.076875001,.079999998,14.4498610496521
91,912,0,.066206895,.07,30.24192032217979
91,913,0,.068125002,.07,47.83567505329847
92,921,0,.74744183,.70999998,43.30668701976538
92,923,0,.75,.69,195.9628994613886
92,924,0,.90676057,.97000003,79.7180502936244
92,925,0,.78391302,.72000003,21.90267935395241
92,926,0,.74076921,.69,133.0406354367733
92,927,0,.85980392,.86000001,247.139962375164
