soc20m,N,w_gpt_E1,w_gpt_E2,w_human_E1,w_human_E2,emmr_gpt,emmr_human
1111,62.80000030994415,7.504079081118107,45.73279298841953,16.84093936532736,25.21343211829662,.48360631,.46891171
1112,49.3500000834465,4.534392099827528,33.79854552447796,13.26248979568481,24.89204566180706,.43431944,.52094251
1121,41.35000038146973,7.335383117198944,27.54412986338139,7.896818855777383,22.92957316339016,.51045823,.46823713
1122,33.55000030994415,3.771629109978676,25.92981965839863,7.529219083487988,16.55545243620872,.49885362,.4711459
1123,56.95000028610229,8.035555619746447,36.69319251179695,11.59423588216305,23.53648093342781,.46325111,.41022786
1131,101.0500006079674,14.96706119552255,78.18823228776455,22.15789655223489,61.31636540219188,.5349943,.52267271
1132,58.1000000834465,4.073855880647898,48.40072362869978,10.74973273277283,39.75210946798325,.48664746,.52712196
1133,25.8500000834465,6.86645282804966,16.50237330794334,6.029259406030178,15.00890854001045,.58482164,.52354789
1134,47.30000013113022,5.780436106026173,37.39006757736206,8.626145176589489,27.45466575026512,.51745182,.47258937
1135,33.25000041723251,2.918606050312519,23.9395794570446,8.59835759550333,12.0541147813201,.44777131,.4398621
1136,113.8000004887581,18.454145912081,84.22754668444395,31.01843401044607,52.018460765481,.53223127,.50112182
1137,68.2500005364418,15.31424202769995,47.14663851261139,17.35021283477545,39.68718998879194,.56978112,.54496419
1139,129.3000004887581,19.2945800088346,91.3755739107728,28.91201945021749,62.38965138792992,.50257051,.46486345
1140,37.00000041723251,1.097846999764442,34.44927722215652,5.955661654472351,23.98915825784206,.4952023,.48514163
1150,35.30000001192093,2.277099821716547,30.66385820508003,10.23071545362473,16.95567098259926,.49883935,.52998728
1161,57.1500004529953,7.012905690819025,19.31023844331503,4.555137101560831,19.24479666352272,.29165399,.24807586
1162,74.00000059604645,14.07222404330969,35.30248695611954,10.74697825312614,30.83653257787228,.4286955,.35358438
1163,108.4500001072884,13.65835519134998,58.72245487943292,25.74664756283164,37.8841518163681,.39667666,.41206753
1171,65.55000001192093,14.32246378436685,42.10195264592767,16.3269478790462,35.02386867627501,.53964061,.51623011
1172,21.40000015497208,1.002274833619595,14.99356103688478,5.216339059174061,9.478659428656101,.39715213,.46521816
1211,32.54999971389771,2.617869965732098,18.82802001386881,4.5774215310812,8.578157402575016,.369643,.27239633
1212,103.7499999403954,8.377748187631369,46.85114854201674,12.40429624915123,33.3001200966537,.30653805,.28004199
1221,34.59999996423721,1.583622865378857,23.61032153666019,7.576087903231382,12.33430217951536,.38695908,.39720345
1222,100.5500007271767,7.625858951359987,58.63342453911901,13.12272795662284,36.95453077927232,.36740497,.31427145
1223,29.10000032186508,2.716726927086711,12.49725156463683,4.109777312725782,7.425365813076496,.30808771,.26881307
1224,125.9500009417534,16.82844572141767,69.08421425521374,31.79783702641726,44.21899783611298,.40786466,.42800584
1225,19.00000023841858,2.074983991682529,16.22413352131844,3.814798213541508,10.42526000738144,.53616059,.47512779
1231,80.75000011920929,5.463987998664379,59.54150207340717,9.735302180051804,42.06979142874479,.43634352,.38105509
1232,43.35000050067902,5.899573348462582,27.55993908643723,13.71145546808839,15.89191136136651,.4539687,.49959424
1233,28.20000028610229,4.234859380871058,9.274995550513268,5.131942313164473,9.455224569886923,.31462258,.34962958
1241,129.1000007987022,18.71392375603318,83.85613589733839,20.90205325186253,65.84924894198775,.46972883,.41693786
1242,31.29999977350235,4.574076749384403,21.57937668263912,7.172330729663372,14.21812802553177,.49085513,.4562746
1243,32.14999979734421,2.559580691158772,25.72944986820221,5.045347526669502,19.17426262795925,.47976068,.45513153
1251,137.8500007390976,5.887376688420773,104.457826860249,31.43002890050411,57.75836181640625,.42159078,.43749881
1252,29.25000011920929,4.329853323288262,12.94602685421705,2.664377893321216,9.636292519047856,.36932877,.25581279
1253,30.40000021457672,4.804402932524681,17.27941022068262,6.488213781267405,11.59878776594996,.44224039,.4041976
1254,87.65000021457672,12.24636460095644,48.48447836562991,19.32941002398729,33.89530339464545,.41629896,.41388547
1255,143.8000011444092,27.02108618617058,89.89601584523916,29.05789500847459,61.56168732792139,.50048047,.41612473
1256,56.80000054836273,13.94451754540205,26.11636762320995,13.85806845128536,22.6319663785398,.47539967,.44320512
1257,25.45000034570694,4.591859351843596,15.99955616891384,5.68940669298172,9.953415088355541,.49475983,.41910076
